index,filename,widthPx,contactAngleDeg,tiltDeg,noiseSigma,blurSigma,xCenter,yBase,contactLeftX,contactLeftY,contactRightX,contactRightY
1,1.png,534,108,1.8729864507433,0.0251059900474586,0.2691031053189,1143,700,876.142648298962,691.773383066233,1409.85735170104,709.226616933767
2,2.png,578,106,0.58186871226745,0.024314757467512,0.387172745725174,1223,623,934.014902833876,620.565103769129,1511.98509716612,626.434896230871
3,3.png,557,112,1.24263172343232,0.00854221367526432,1.48395875479835,874,596,595.565496454176,590.46036133608,1152.43450354582,602.53963866392
4,4.png,564,98,-1.8551541000535,0.0260549336461432,0.135500587382004,1383,634,1101.147807301,643.629154986502,1664.852192699,625.370845013498
5,5.png,594,100,0.0778399178906679,0.0205003202984465,0.691732363604879,109,656,-187.999725914626,656.096506955688,405.999725914626,656.903493044312
6,6.png,554,112,1.53722626639383,0.0190547921935621,0.453047320040364,64,587,-212.900309436679,580.069075840033,340.900309436679,594.930924159967
7,7.png,583,109,-1.03216791545714,0.00744934935713331,0.348827840836266,720,645,428.547299033177,650.75100934522,1011.45270096682,640.24899065478
8,8.png,559,92,-0.401821542066648,0.00347491229410812,0.122562096731194,1023,649,743.506873393435,651.460147873625,1302.49312660657,647.539852126375
9,9.png,530,94,-1.08880211277097,0.0107606011261413,0.666346734329486,1303,583,1038.04784708165,588.535540083277,1567.95215291835,578.464459916723
10,10.png,531,115,1.46760770525509,0.0061720714953859,1.12980258070451,210,621,-55.4129065517002,614.700070899012,475.4129065517,628.299929100988
11,11.png,566,95,-0.00440110828072759,0.00497299231626109,1.16969900411514,1246,603,963.000000834902,603.521738313935,1528.9999991651,603.478261686065
12,12.png,575,106,1.98698802992479,0.0215400953833234,1.39338359258751,950,690,662.672865992425,680.531646926741,1237.32713400757,700.468353073259
13,13.png,550,101,0.508393388888329,0.0211252100652681,0.753918349851084,1056,693,781.010825659739,691.059918923122,1330.98917434026,695.940081076878
14,14.png,554,111,0.60964027861077,0.0157512672251176,0.329677971706259,583,621,306.015680059884,618.552711871632,859.984319940116,624.447288128368
15,15.png,566,115,-1.5440314504558,0.0253029501145509,1.05387837160238,739,643,456.102753630817,651.125483377063,1021.89724636918,635.874516622937
16,16.png,526,95,1.05182089531605,0.0202557295581427,0.304820799923339,689,565,426.044315114901,560.672186146058,951.955684885099,570.327813853942
17,17.png,588,107,-0.350259508078637,0.00738235916150914,0.679196453776703,1154,678,860.005493518409,680.297264211496,1447.99450648159,676.702735788504
18,18.png,532,90,1.74184413571721,0.00823940646013627,0.426089891741941,886,656,620.122911214176,648.414602126371,1151.87708878582,664.585397873629
19,19.png,538,103,-0.885019550837249,0.00423134981754334,0.752858515489971,26,598,-242.967909675114,602.654944644581,294.967909675114,594.345055355419
20,20.png,560,93,-1.33820222193579,0.00903551569691909,0.157196028849673,334,679,54.0763671391738,686.039095197147,613.923632860826,672.960904802853
21,21.png,558,115,0.237856275732796,0.00909632156543222,1.17998556628764,856,677,577.002404127788,676.341769657713,1134.99759587221,678.658230342287
22,22.png,579,90,-0.801515463366219,0.0170498286091274,0.518065514394558,555,635,265.528326312111,639.549707684835,844.471673687888,631.450292315165
23,23.png,532,95,1.49816526826274,0.00753800877180505,0.5259590277608,1365,589,1099.0909287207,582.545446715991,1630.9090712793,596.454553284009
24,24.png,554,101,-0.786494686802493,0.0202387493086741,1.15974986484774,313,697,36.0260969212639,701.302237937176,589.973903078736,693.697762062825
25,25.png,549,95,-1.97366616221341,0.00558095382773794,1.21445162707297,806,649,531.66284391479,658.95382415107,1080.33715608521,640.04617584893
26,26.png,568,106,-1.23188191027957,0.0266387960238957,1.17054697142406,754,629,470.065639385273,635.605641842266,1037.93436061473,623.394358157734
27,27.png,535,115,0.147972694977001,0.0203203377053508,0.899141907620123,6,555,-261.499107904289,554.809152397597,273.499107904289,556.190847602403
28,28.png,579,92,-0.00214860310157539,0.0103069513256545,1.47736451901649,174,562,-115.499999796443,562.510856307446,463.499999796443,562.489143692554
29,29.png,600,90,0.394743161860899,0.0269277172198694,1.14165987157056,148,611,-151.992880106339,609.433145988761,447.992880106339,613.566854011239
30,30.png,594,113,-0.943319817550744,0.0146622412952951,0.655201646315266,9,665,-287.959747830269,670.389597998129,305.959747830269,660.610402001871
31,31.png,579,109,0.0904284235287931,0.00799188164777512,0.450471593243395,960,562,670.500360564642,562.043089945444,1249.49963943536,562.956910054556
32,32.png,563,110,-0.926755380152879,0.00297070792942022,0.904562263693755,319,664,37.5368234013883,669.053045027092,600.463176598612,659.946954972908
33,33.png,595,115,-0.25472288850303,0.0262201803405305,1.13807421485559,420,681,122.50293999733,682.822607185822,717.49706000267,680.177392814178
34,34.png,538,96,0.113642676364772,0.0192427777019711,0.760028604956382,825,583,556.00052912683,582.966455292901,1093.99947087317,584.033544707099
35,35.png,554,106,-0.324396815744513,0.0212649472318645,0.937283685102342,1257,635,980.00443972953,637.068308148459,1533.99556027047,633.931691851541
36,36.png,533,110,1.71390515287809,0.0119010328994155,0.102460371559485,1337,628,1070.61922384877,620.529297579999,1603.38077615123,636.470702420001
37,37.png,562,101,-1.71573560404081,0.0137642916718804,0.511594900422309,1212,569,931.125979341263,577.913353611698,1492.87402065874,561.086646388302
38,38.png,563,109,0.946980365766281,0.0166854253363081,0.817166602132834,1297,695,1015.5384481282,690.847600842903,1578.4615518718,700.152399157097
39,39.png,578,108,0.517430704286678,0.0133403959168775,1.08115772026292,610,629,321.011784849018,626.890114207541,898.988215150982,632.109885792459
40,40.png,542,110,-1.99706373806645,0.00391377847388842,0.640411759350542,165,632,-105.835398452686,641.943883998375,435.835398452686,623.056116001625
41,41.png,556,93,-0.715724748024776,0.0134636305346131,0.345815120298482,37,597,-240.978310179562,600.97261712761,314.978310179562,594.02738287239
42,42.png,584,106,0.554777595784105,0.00789649807130128,0.0879747553141089,99,593,-192.98631193603,590.67269704574,390.98631193603,596.32730295426
